task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
157	c8/64f609	8042206	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_ADD_DOUBLETSCORES (1)	CACHED	0	2022-06-17 19:24:41.744	2m 10s	1m 11s	163.9%	8.1 GB	12.6 GB	537.3 MB	292.3 MB
160	ef/4a3601	8042229	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_ADD_DOUBLETSCORES (2)	CACHED	0	2022-06-17 19:45:06.615	2m 10s	1m 25s	146.2%	4.9 GB	8.4 GB	834.5 MB	462.7 MB
161	dc/57568e	8042318	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_ARCHRPROJECT_ANNOTATION (1)	CACHED	0	2022-06-17 22:36:01.835	1m 15s	1m 12s	39.3%	771.1 MB	1.2 GB	10.1 GB	10 GB
162	cd/490615	8042319	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_ARCHRPROJECT_QC (1)	CACHED	0	2022-06-17 22:37:16.803	8m 10s	7m 19s	320.1%	12.8 GB	15.3 GB	55.3 GB	18.2 MB
163	54/7bebbe	8042320	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_FILTER_CELLS (1)	CACHED	0	2022-06-17 22:45:26.829	34.8s	17.2s	49.2%	531.2 MB	849.5 MB	40.2 MB	7.3 MB
164	d2/7812d5	8042321	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_FILTER_DOUBLETS (1)	CACHED	0	2022-06-17 22:46:01.798	34.9s	10.5s	81.6%	537.6 MB	853.6 MB	40.2 MB	7.2 MB
165	6a/65775f	8042322	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_DIMENSION_REDUCTION (1)	CACHED	0	2022-06-17 22:46:36.813	3m 50s	3m 40s	186.9%	14.6 GB	21.2 GB	7.9 GB	1.8 GB
166	de/423e86	8042323	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_BATCH_CORRECTION (1)	CACHED	0	2022-06-17 22:50:26.816	34.8s	29s	95.7%	760.2 MB	1.1 GB	58.1 MB	30 MB
167	a9/6d23da	8042324	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_CLUSTERING (1)	CACHED	0	2022-06-17 22:51:01.809	1m 10s	46.5s	95.4%	1.2 GB	1.7 GB	84.6 MB	30.9 MB
168	2d/a38906	8042325	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_EMBEDDING (1)	CACHED	0	2022-06-17 22:52:11.893	4m 10s	4m 7s	195.4%	1.1 GB	2.8 GB	191 MB	198.2 MB
